song,artist,year
SOMEONE LIKE YOU,ADELE,2011
MOVES LIKE JAGGER,MAROON 5 FEAT CHRISTINA AGUILERA,2011
PARTY ROCK ANTHEM,LMFAO/LAUREN BENNETT/GOONROCK,2011
PRICE TAG,JESSIE J FEAT BOB,2011
WE FOUND LOVE,RIHANNA FEAT CALVIN HARRIS,2011
GIVE ME EVERYTHING,PITBULL/NE-YO/AFROJACK/NAYER,2011
GRENADE,BRUNO MARS,2011
THE A TEAM,ED SHEERAN,2011
ROLLING IN THE DEEP,ADELE,2011
ON THE FLOOR,JENNIFER LOPEZ FEAT PITBULL,2011
JAR OF HEARTS,CHRISTINA PERRI,2011
S&M,RIHANNA,2011
WHEREVER YOU ARE,MILITARY WIVES/GARETH MALONE,2011
BORN THIS WAY,LADY GAGA,2011
THE LAZY SONG,BRUNO MARS,2011
BEAUTIFUL PEOPLE,CHRIS BROWN FEAT BENNY BENASSI,2011
CHANGED THE WAY YOU KISS ME,EXAMPLE,2011
I NEED A DOLLAR,ALOE BLACC,2011
SWEAT,SNOOP DOGG,2011
WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,2011
HEART SKIPS A BEAT,OLLY MURS FEAT RIZZLE KICKS,2011
MR SAXOBEAT,ALEXANDRA STAN,2011
EARTHQUAKE,LABRINTH FEAT TINIE TEMPAH,2011
GLAD YOU CAME,WANTED,2011
LOUDER,DJ FRESH FEAT SIAN EVANS,2011
DO IT LIKE A DUDE,JESSIE J,2011
THE EDGE OF GLORY,LADY GAGA,2011
YEAH 3X,CHRIS BROWN,2011
SET FIRE TO THE RAIN,ADELE,2011
SUPER BASS,NICKI MINAJ,2011
SEXY AND I KNOW IT,LMFAO,2011
WHERE THEM GIRLS AT,DAVID GUETTA/FLO RIDA/MINAJ,2011
DON'T HOLD YOUR BREATH,NICOLE SCHERZINGER,2011
BEST THING I NEVER HAD,BEYONCE,2011
BOUNCE,CALVIN HARRIS FEAT KELIS,2011
ET,KATY PERRY FEAT KANYE WEST,2011
READ ALL ABOUT IT,PROFESSOR GREEN FEAT EMELI SANDE,2011
CHAMPION,CHIPMUNK FEAT CHRIS BROWN,2011
PARADISE,COLDPLAY,2011
LEGO HOUSE,ED SHEERAN,2011
SOMEBODY THAT I USED TO KNOW,GOTYE FT KIMBRA,2012
CALL ME MAYBE,CARLY RAE JEPSEN,2012
WE ARE YOUNG,FUN. FT JANELLE MONAE,2012
TITANIUM,DAVID GUETTA FT SIA,2012
IMPOSSIBLE,JAMES ARTHUR,2012
GANGNAM STYLE,PSY,2012
STARSHIPS,NICKI MINAJ,2012
DOMINO,JESSIE J,2012
PAYPHONE,MAROON 5 FT WIZ KHALIFA,2012
WILD ONES,FLO RIDA FT SIA,2012
DIAMONDS,RIHANNA,2012
BENEATH YOUR BEAUTIFUL,LABRINTH FT EMELI SANDE,2012
DON'T YOU WORRY CHILD,SWEDISH HOUSE MAFIA/MARTIN,2012
NEXT TO ME,EMELI SANDE,2012
WHISTLE,FLO RIDA,2012
FEEL THE LOVE,RUDIMENTAL FT JOHN NEWMAN,2012
